ABARTH,Italy
ADRIA,Slovenia
AIWAYS,China
ALFA,Italy
ALPINA,Germany
ALPINE,France
ALPINE-RENAULT,France
ALVIS,United Kingdom
ASTON,United Kingdom
AUDI,Germany
AUSTIN,United Kingdom
AUSTIN-HEALEY,United Kingdom
AUTO,Germany
AUTOSTAR,France
BEDFORD,United Kingdom
BENIMAR,Spain
BENTLEY,United Kingdom
BERTONE,Italy
BINZ,Germany
BMW,Germany
BORGWARD,Germany
BUERSTNER,Germany
BUGATTI,France
BUICK,United States
BURSTNER,Germany
BYD,China
CADILLAC,United States
CAPRON,Germany
CARTHAGO,Germany
CATERHAM,United Kingdom
CHALLENGER,France
CHAUSSON,France
CHEVROLET,United States
CHRYSLER,United States
CITROEN,France
CONCORDE,Germany
CUPRA,Spain
DACIA,Romania
DAEWOO,Korea
DAF,Netherlands
DAIHATSU,Japan
DAIMLER,United Kingdom
DAIMLERCHRYSLER,Germany
DATSUN,Japan
DERCKS,Germany
DETHLEFFS,Germany
DFSK,China
D.K.W.,Germany
DODGE,United States
DONGFENG,China
DONKERVOORT,Netherlands
DS,France
ELNAGH,Italy
ETRUSCO,Italy
EURA,Germany
FERRARI,Italy
FIAT,Italy
FISKER,United States
FLEURETTE,France
FORD,United States
FORD-CNG-TECHNIK,United States
FORSTER,Germany
FRANKIA,Germany
GIOTTILINE,Italy
G.M.C.,United States
GMC,United States
GS,United States
HANOMAG-HENSCHEL,Germany
HOBBY,Germany
HONDA,Japan
HUEFFERMANN,Germany
HULCO,Germany
HUMMER,United States
HYMER,Germany
HYUNDAI,Korea
INFINITI,Japan
INNOCENTI,Italy
ITINEO,France
IVECO,Italy
JAECOO,China
JAGUAR,United Kingdom
JEEP,United States
JENSEN,United Kingdom
KAISER,United States
KARMANN,Germany
KIA,Korea
KNAUS,Germany
KRONE,Germany
KUIPER,Netherlands
LADA,Russia
LADA-VAZ,Russia
LAIKA,Italy
LAKO,Netherlands
LAMBORGHINI,Italy
LANCIA,Italy
LAND,United Kingdom
LEAPMOTOR,China
LEXUS,Japan
LINCOLN,United States
LMC,Germany
LOTUS,United Kingdom
LUCID,United States
LYNK&CO,China
M.A.N.,Germany
MAN,Germany
MASERATI,Italy
MATRA,France
MAZDA,Japan
MC,United States
MERCEDES-AMG,Germany
MERCEDES-BENZ,Germany
MERCURY,United States
MG,United Kingdom
MICRO,France
MINI,United Kingdom
MITSUBISHI,Japan
MOBILVETTA,Italy
MORGAN,United Kingdom
MORRIS,United Kingdom
NEKAF,United States
NIESMANN+BISCHOFF,Germany
NIO,China
NISSAN,Japan
NOOTEBOOM,Netherlands
N.S.U.,Germany
OLDSMOBILE,United States
OPEL,Germany
PACKARD,United States
PANHARD,United States
PEUGEOT,France
PILGRIM,United Kingdom
PILOTE,France
PLA,Italy
PLYMOUTH,United States
POESSL,Germany
POLESTAR,Sweden
PONTIAC,United States
PORSCHE,Germany
POSSL,Germany
PUCH,Austria
QUATTRO,Germany
R.A.F.,Latvia
RAPIDO,France
RELIANT,France
RENAULT,France
RILEY,United Kingdom
RIMOR,Italy
ROLLER,Italy
ROLLS,United Kingdom
ROVER,United Kingdom
SAAB,Sweden
SANTANA,Spain
SEA,Italy
SEAT,Spain
SERES,China
SIMCA,France
SINGER,United Kingdom
SKODA,Czech Rep.
SMART,Germany
SSANGYONG,Korea
STUDEBAKER,United States
SUBARU,Japan
SUNBEAM,United Kingdom
SUZUKI,Japan
TALBOT,France
TEC,Germany
TESLA,United States
TOURNE,Netherlands
TOYOTA,Japan
TRABANT,Germany
TRIAS,Netherlands
TRIGANO,France
TRIUMPH,United Kingdom
TVR,United Kingdom
UAZ,Russia
VAUXHALL,United Kingdom
VELDHUIZEN,Netherlands
VOLKSWAGEN,Germany
VOLVO,Sweden
VW,Germany
VW-PORSCHE,Germany
WARTBURG,Germany
WEINSBERG,Germany
WESTFALIA,Germany
WESTFIELD,United Kingdom
WILLYS,United States
WILLYS,United States
WOLSELEY,United Kingdom
XPENG,China
ZASTAVA,Serbia
ZEEKR,China
